target	rt.m	rt.sd	rt.n	zrt.m	zrt.sd	zrt.n	acy	acy.n	nbphon	puPhon	pld20	accd	fb	ff	ft
justement	1026.5197	97.80807	44	-0.2819637951	0.4887235	44	0.9777778	45	7	7	3.3	633	78.18000047	62.08	140.26
justesse	1125.0304	213.3961	45	0.2566227831	0.7951594	45	0.9787234	47	6	5	2.8	809	8.58000002	1.91	10.49
justice	1034.1049	196.21297	43	-0.2260937018	0.7646151	43	1	43	6	6	2.55	758	46.2199997	50.96	97.18
justicier	1070.2038	150.99992	47	0.0693244887	0.614203	47	0.9791667	48	8	8	2.7	738	1.95999999	1.45	3.41
justifiés	1118.2757	119.01457	46	0.4132847694	0.6506672	46	1	46	8	8	2.6	755	1.01000001	0.23	1.24
justifie	1066.3482	185.13578	48	0.0150852809	0.8747682	48	1	48	7	7	2.85	685	4.72999997	3.94	8.67
justifier	1029.1549	150.90375	51	-0.244132832	0.5829618	51	0.9807692	52	8	8	2.6	694	14.93000015	7.37	22.3
juteuse	1044.289	138.33501	45	-0.1002608158	0.80729	45	0.9787234	47	5	5	2.75	749	1.01000001	0.75	1.76
juteux	1017.8023	163.73225	44	-0.2656367602	0.8638226	44	0.9361702	47	4	4	1.9	555	1.15	1.58	2.73
juvénile	1223.6458	220.25336	46	0.9630581298	0.8073811	46	0.9583333	48	7	7	3.4	883	5.26999999	1.24	6.51
juxtapose	1250.2912	177.17974	46	1.1468175624	1.0354868	46	1	48	9	9	4.6	1033	0.07000001	0.03	0.1
képi	980.6678	158.61638	39	-0.5700767409	0.7775067	39	0.8863636	44	4	3	1.7	462	12.91	1.85	14.76
kérosène	1070.8063	146.09508	43	0.0594559423	0.8856771	43	0.9361702	47	7	2	2.95	772	0.14	0.91	1.05
kaki	996.6701	148.24511	45	-0.5313137879	0.9068803	45	0.8823529	51	4	4	1.1	493	6.22000004	0.84	7.06
kamikaze	1081.9494	175.6523	47	0.1971607304	0.7868504	47	1	48	7	5	2.9	828	1.28000002	1.06	2.34
kangourou	1008.4505	265.49632	46	-0.5847221902	1.0736832	46	1	46	6	4	2.85	561	1.15	1.42	2.57
karaoké	1088.6176	128.14996	45	0.2686437933	0.7130775	45	1	45	7	5	2.4	729	0	0.97	0.97
karaté	1058.3594	170.52078	47	-0.0538830183	0.9067869	47	0.9795918	49	6	6	1.8	586	0.94999999	2.64	3.59
karma	1053.9294	152.01788	49	-0.1479230009	0.7857931	49	0.98	50	5	5	1.6	571	0.14	10.73	10.87
kayak	1052.5012	141.68965	45	0.0096736744	0.8382077	45	0.9574468	47	5	5	1.75	603	0.14	0.34	0.48
kermesse	1067.9198	160.48873	46	-0.0051214015	0.8280305	46	1	46	6	4	2.5	697	2.3	0.93	3.23
ketchup	1252.8876	192.94451	41	1.237601435	1.1594016	41	0.8958333	48	6	5	2.85	787	0.54	4.45	4.99
kidnappe	1305.4918	242.41141	33	1.3721610718	0.7897788	33	0.6666667	51	6	6	2.75	746	0.14	0.69	0.83
kidnapper	1056.9214	207.33356	44	-0.1052990384	1.02973	44	1	44	7	7	2.85	654	0.20000001	2.54	2.74
kilo	1046.8222	124.28593	36	-0.0747469682	0.800194	36	0.8	45	4	4	1.45	482	5.26999999	5.19	10.46
kilomètre	1015.5372	173.79122	44	-0.4313292247	0.845055	44	1	44	8	8	2.75	697	6.28000001	3.73	10.01
kimono	1049.651	147.03085	44	-0.0188840359	0.8167927	44	0.9777778	45	6	3	2.65	566	1.88999998	1.84	3.73
kiosque	1082.9581	133.13023	48	0.2409044321	0.6930347	48	1	48	5	3	2.5	730	5.88000003	3.95	9.83
kit	935.7934	164.10632	43	-0.8164578311	0.890356	43	0.9347826	46	3	3	1	481	0.34000001	6.99	7.33
kiwis	1054.5463	130.41717	46	-0.1082889536	0.6417971	46	0.9583333	48	4	3	1.95	479	0.07000001	0	0.07
klaxon	1073.7451	148.03017	44	0.1163095439	0.8498856	44	0.9583333	48	6	6	2.9	606	3.24000003	4.89	8.13
kyste	972.5153	134.45951	47	-0.5766870776	0.7886649	47	0.9791667	48	4	4	1.5	496	0.07000001	0.51	0.58
la	1034.0886	182.24694	41	-0.2619768814	1.2450184	41	0.8541667	48	2	2	1	324	24877.29996891	16028	40905.3
lèche	923.7229	102.50589	46	-0.8718563103	0.6191164	46	0.9787234	47	3	3	1	514	4.25999995	5.41	9.67
lègue	1101.2793	178.32431	38	0.0938391596	0.841117	38	0.7755102	49	3	3	1.3	505	0.54	1.47	2.01
lève	1065.9571	186.63007	40	-0.0059327675	1.2336874	40	0.8723404	47	3	3	1.1	481	77.69999957	67.72	145.42
lèvre	907.5214	123.65132	48	-0.9488484409	0.6899169	48	0.9795918	49	4	2	1.55	532	20.74000001	4	24.74
lâcha	960.5081	162.05878	45	-0.7071710725	0.8058082	45	0.9	50	4	3	1.5	452	12.70000009	0.03	12.73
lâchaient	1035.3903	231.39371	45	-0.191955129	1.160525	45	0.9574468	47	4	3	1.65	481	1.49000002	0.09	1.58
lâchant	1010.6226	128.75309	38	-0.3220052123	0.7743951	38	0.8125	48	4	3	1.75	516	4.59000003	0.25	4.84
lâche	956.8429	121.05131	44	-0.6202024785	0.7168615	44	0.9777778	45	3	3	1	609	29.99000027	119.47	149.46
lâchement	1021.3173	185.72236	49	-0.3183592618	1.0384664	49	1	49	5	3	2.65	505	2.97000003	1.07	4.04
lâcher	966.79	221.88449	50	-0.7374018263	0.9901947	50	1	51	4	3	1	467	21.21999976	20.35	41.57
lâchera	959.7683	149.38473	45	-0.6744634403	0.8254645	45	0.9782609	46	5	6	3.4	519	1.34999999	1.24	2.59
lâcherai	1012.5696	202.09479	42	-0.2802086139	1.0530811	42	0.893617	47	5	3	3.4	492	0.46999998	2.86	3.33
lâcheront	1097.6101	189.98937	41	0.2981504353	0.9928085	41	0.875	48	5	5	3.95	595	0.34000001	0.69	1.03
lâcheté	979.9699	181.00714	45	-0.4771751253	0.9712585	45	0.9375	48	5	5	2.7	531	9.11999994	3.91	13.03
lécha	973.3672	141.31523	39	-0.6981264708	0.73555	39	0.9069767	43	4	2	1.8	502	1.95999999	0.01	1.97
léchaient	974.7163	156.72137	44	-0.6326889162	0.7562598	44	0.9565217	46	4	4	1.85	501	0.74000001	0.08	0.82
léchant	1017.7925	178.20532	44	-0.1956792144	1.1161101	44	0.9565217	46	4	2	1.85	499	2.09	0.57	2.66
lécher	930.124	132.94081	45	-0.8568165817	0.7375857	45	1	46	4	3	1.1	496	6.88999994	5.73	12.62
léchera	961.8814	142.09803	46	-0.7044627021	0.7631315	46	1	46	5	2	3.85	529	0.07000001	0.05	0.12
lécheur	1052.8161	199.44972	42	0.0366100864	1.1013024	42	0.9148936	47	5	4	1.85	675	0.14	0.3	0.44
légère	1014.1547	194.3334	50	-0.4112729077	0.8611928	50	1	50	5	5	1.95	743	47.84000053	15.71	63.55
légèreté	1069.1451	169.23396	49	0.0362631641	0.8414921	49	1	49	7	7	4.3	775	12.50000005	1.35	13.85
légal	997.7713	201.47469	45	-0.5624963682	0.9627423	45	0.9574468	47	5	5	1.75	633	2.43	9.8	12.23
légalité	1041.6567	140.6272	47	-0.1186390485	0.7264974	47	0.9803922	51	8	7	2.2	765	2.49999996	2.39	4.89
légende	1111.6469	177.99935	48	0.3168227294	0.8259709	48	0.96	50	5	5	2.4	726	21.49000024	16.07	37.56
léger	888.3463	158.42516	44	-1.1892014368	0.7723562	44	0.9565217	46	4	3	1.4	465	74.93000002	17.03	91.96
légion	986.3814	136.81362	45	-0.510789914	0.8155035	45	1	46	5	5	2.95	605	13.64999984	4.17	17.82
légiste	1107.0452	126.22281	44	0.4471756536	0.7620276	44	0.9166667	48	6	6	2.55	697	1.34999999	7.28	8.63
légitimé	1131.8302	160.46743	48	0.622627617	0.8832759	48	0.98	50	8	8	3.1	744	0.34000001	0.05	0.39
légitime	1016.3929	123.68282	50	-0.2449862059	0.7779928	50	1	50	7	7	2.6	756	13.57999987	12.85	26.43
léguaient	987.1553	117.57723	46	-0.3574269341	0.8545608	46	0.9591837	49	4	4	1.8	448	0.07000001	0	0.07
léguer	960.751	179.41582	50	-0.7257280887	0.8248453	50	1	50	4	4	1.5	480	1.21999998	0.67	1.89
légume	982.192	148.12084	44	-0.5731397541	0.8695596	44	1	44	5	5	2.25	626	2.09	3.2	5.29
lémuriens	1095.1902	191.93215	46	-0.0074352196	0.7895873	46	0.9387755	49	7	6	2.95	644	0.40999999	0.04	0.45
léopard	1018.8754	147.71992	43	-0.184057397	0.8386806	43	0.9772727	44	6	6	2.65	806	2.57000003	3.18	5.75
lépreuses	1123.3571	161.11071	42	0.3085656848	0.7485386	42	0.9772727	44	6	6	2.85	675	0.67999999	0.06	0.74
lépreux	1012.3886	175.52223	48	-0.3787766331	0.7172617	48	1	48	5	5	2.45	527	4.06000004	2.78	6.84
léser	1022.7843	164.84612	45	-0.3433022788	0.9544275	45	0.9183673	49	4	4	1.55	517	0.07000001	0.33	0.4
lésina	1135.177	157.90571	38	0.5920266633	0.7213526	38	0.7959184	49	6	6	2.45	663	0.07000001	0	0.07
lésine	1065.7807	137.55268	32	0.1399452258	0.8677735	32	0.7021277	47	5	5	1.8	682	0.48000002	0.47	0.95
lésion	948.0726	138.65028	47	-0.776065576	0.7533621	47	0.9791667	48	5	3	2.85	440	0.46999998	1.84	2.31
léthargie	1094.1995	185.71051	43	0.1660806798	0.7415485	43	0.9555556	45	7	7	2.85	718	2.09	0.75	2.84
lévrier	1010.0767	171.44975	41	-0.3486069416	0.86272	41	0.9111111	45	7	2	2.45	545	1.55	0.31	1.86
lézard	1061.048	124.10602	43	-0.0614308655	0.6807384	43	0.9772727	44	5	5	1.9	716	7.50000008	4.9	12.4
lézardé	1116.9814	191.42091	42	0.234901817	0.8606363	42	0.9130435	46	7	7	2.55	607	0.14	0.02	0.16
lézardes	1134.8499	191.72225	45	0.4114600515	1.0085471	45	0.9574468	47	6	6	2.5	773	1.21999998	0.01	1.23
laïque	941.7531	92.94477	47	-0.7817170555	0.5143958	47	0.9795918	49	4	4	1.85	605	3.16999995	0.43	3.6
laïus	1105.1643	219.52406	32	0.1910763688	0.9896868	32	0.6808511	47	5	4	2	676	1.07999998	1.78	2.86
label	1068.2777	230.90831	34	-0.0289205538	1.1247914	34	0.6862745	51	5	4	1.55	595	0.46999998	1.3	1.77
labeur	1009.6074	141.46365	45	-0.3205875335	0.8241467	45	1	46	5	4	1.75	709	8.84999999	3.71	12.56
labo	1067.3043	184.01176	38	-0.1000003881	0.9369339	38	0.8636364	44	4	4	1.4	501	1.21999998	28.36	29.58
laborieux	1073.1094	128.26542	43	0.1707761177	0.7595744	43	0.9772727	44	7	7	3	677	3.31	0.6	3.91
labour	1079.4932	196.39781	41	0.1132964082	1.1445432	41	0.8367347	49	5	5	1.85	670	2.63999997	0.39	3.03
labourage	1196.1547	200.66395	40	0.6452536285	1.0547774	40	0.86	50	7	7	2.6	845	0.40999999	0.14	0.55
labourer	1048.2072	157.03727	45	-0.0619553657	0.9377197	45	0.9574468	47	6	6	1.95	571	1.21999998	1.41	2.63
laboureur	1129.5112	220.19305	38	0.3811977538	0.7809571	38	0.8723404	47	7	6	2.7	854	1.42000002	0.17	1.59
lac	1018.4388	199.54463	42	-0.3325434604	0.7629235	42	0.8958333	48	3	3	1	481	32.83999966	31.16	64
lacère	1260.2529	236.34077	34	1.1201313779	1.1903489	34	0.8222222	45	5	4	1.8	775	0.54	0.18	0.72
lacées	973.4119	121.41038	43	-0.5416905429	0.753538	43	0.9555556	45	4	4	1	506	0.54	0.02	0.56
lacérer	1044.6864	138.62742	36	-0.0926661447	0.6899773	36	0.8043478	46	6	6	1.9	602	1.01000001	0.34	1.35
lace	1073.4805	176.33499	42	0.0833081191	0.9924399	42	0.8958333	48	3	3	1	570	0.14	0.15	0.29
lacet	1003.9162	158.53524	44	-0.292468238	1.0526843	44	0.9782609	46	4	3	1.6	490	5.26999999	0.83	6.1
lacrymale	1248.6336	185.45399	36	1.1939873597	0.8191207	36	0.8163265	49	8	8	3.5	893	0.07000001	0	0.07
lacrymaux	1188.332	166.5365	38	0.7132440695	0.9869626	38	0.8478261	46	7	7	2.9	701	0	0.14	0.14
lacté	992.3554	141.56087	47	-0.3868423161	1.0562628	47	0.94	50	5	5	1.85	505	0.20000001	0.1	0.3
lacunes	1025.0006	157.10312	40	-0.1842678077	0.8228332	40	1	40	5	5	1.9	664	1.55	0.35	1.9
lagon	1000.2489	189.45868	46	-0.5143435402	1.0005027	46	0.9591837	49	4	4	2.55	440	0.74000001	0.71	1.45
laid	990.1662	200.26303	35	-0.5964494625	1.0410084	35	0.7954545	44	2	2	1	367	11.89999999	10.45	22.35
laide	1022.4135	166.7142	42	-0.2342314123	1.0416219	42	0.9130435	46	3	3	1	480	10.47000006	6.34	16.81
laideron	958.678	134.3633	43	-0.7409761811	0.7420915	43	0.9347826	46	5	5	4.45	540	0.20000001	0.32	0.52
laideur	973.9894	155.32305	45	-0.563411896	0.735814	45	0.9787234	47	5	4	1.8	701	8.77999989	1.44	10.22
lainage	1093.0814	174.33261	34	0.1191334199	0.9080422	34	0.7083333	48	5	4	1.9	679	2.49999996	0.01	2.51
laine	946.2133	151.44522	45	-0.7690592042	0.6898623	45	0.9583333	48	3	3	1	545	34.86000039	6.27	41.13
laineux	1037.7515	251.52105	39	-0.4844229435	1.3964329	39	0.8125	48	4	4	1.8	411	1.07999998	0.06	1.14
laissa	1025.0825	205.20511	44	-0.3649838492	0.9268983	44	0.9166667	48	4	2	1.9	448	67.97000064	2.52	70.49
laissai	933.4734	152.51587	42	-0.8196423051	0.9547617	42	0.9333333	45	4	2	1.8	470	8.11000006	0.41	8.52
laissais	1038.9636	187.71712	40	-0.1267299763	1.008096	40	0.8510638	47	4	2	1.8	503	12.36000006	4.54	16.9
laissant	1100.2143	277.39513	35	0.1598052777	1.4875675	35	0.7954545	44	4	2	1.65	475	58.50999996	10.8	69.31
laisse	1017.8849	177.32085	40	-0.1651251049	0.9580498	40	0.8888889	45	3	3	1	541	162.16000126	549.51	711.67
laisser	1090.6561	215.37211	40	-0.0012825485	1.1888854	40	0.8510638	47	4	3	1.25	462	192.0299997	243.13	435.16
laissera	994.431	148.16896	43	-0.4227542322	0.8393538	43	0.9772727	44	5	2	3.65	562	6.61999998	13.78	20.4
laisserai	1019.6973	161.69912	43	-0.369986109	0.7690069	43	0.9555556	45	5	6	3.75	547	5.80999997	28.33	34.14
laissons	1070.4477	225.12909	42	-0.0740249754	1.0889555	42	0.877551	49	4	4	2.35	465	6.75999998	20.73	27.49
laiteuse	1007.0312	210.29164	42	-0.3479768883	1.1800051	42	0.9555556	45	5	5	2.35	698	4.86000005	0.1	4.96
laiteux	978.8957	190.66414	43	-0.6222179315	0.922556	43	0.8958333	48	4	4	1.8	451	4.11999999	0.22	4.34
laiton	1059.7065	179.48833	37	0.0593865849	1.057432	37	0.755102	49	4	4	2.45	476	1.55	0.21	1.76
laitue	955.3009	137.24753	46	-0.5925283373	0.6915755	46	0.9787234	47	4	2	1.85	481	1.61999999	1.97	3.59
lama	998.5214	140.18697	40	-0.3991806182	0.8408487	40	0.8541667	48	4	4	1.45	517	0.46999998	1.23	1.7
lambeau	1048.6022	226.66099	37	-0.4231840606	0.9770234	37	0.902439	41	4	4	1.65	505	3.50999998	0.61	4.12
lambris	1055.3568	169.91684	35	-0.0216361992	0.8603201	35	0.787234	47	5	5	1.9	539	1.55	0.04	1.59
lame	987.6401	158.72671	47	-0.4806535049	0.812857	47	0.94	50	3	3	1	486	25.80999975	11.05	36.86
lamelle	1026.5507	138.68569	48	-0.2961247772	0.6001182	48	1	48	5	5	1.8	609	0.54	0.14	0.68
lamentait	1123.5286	207.80486	46	0.3703926744	0.9966564	46	0.9787234	47	6	6	2.75	649	2.09	0.2	2.29
lamenter	1087.1402	174.28842	40	0.0360856437	0.9617563	40	0.8913043	46	6	6	1.95	624	1.55	1.2	2.75
lampe	1061.5702	171.70201	44	-0.1453730757	0.8020334	44	0.9183673	49	3	3	1.05	525	71.15000076	22.48	93.63
lampions	1087.0235	140.97301	43	0.1092381622	0.7818752	43	0.9347826	46	5	4	2.85	588	3.17999998	0.27	3.45
lança	984.2792	158.99251	46	-0.4761403114	0.8762735	46	0.9583333	48	4	4	1.8	551	38.72000002	0.79	39.51
lançaient	1007.8325	197.61518	47	-0.3726311204	1.0353404	47	0.9795918	49	4	4	1.65	521	5.80999997	0.63	6.44
lançant	1080.2713	158.68656	39	0.0758123948	0.8500844	39	0.9111111	45	4	4	1.7	523	8.24999994	0.6	8.85
lançons	1079.2081	187.3246	41	0.0708333806	0.7266083	41	0.8723404	47	4	4	2.25	560	0.48000002	0.84	1.32
lancèrent	1134.9946	229.19346	44	0.2960008576	0.9000361	44	0.9777778	45	5	5	1.75	724	1.42000002	0.21	1.63
lance	993.8168	167.18219	47	-0.4596124774	0.7670967	47	0.9795918	49	3	3	1.1	555	28.65000016	30.5	59.15
lancement	970.7837	106.76298	47	-0.565517372	0.6711326	47	1	47	5	5	2.7	547	1.95999999	8.63	10.59
lancer	939.2347	143.64471	47	-0.8452160476	0.7375893	47	1	48	4	4	1.35	519	27.76999987	21.92	49.69
lanceur	1025.1436	156.96879	45	-0.1721322834	0.7097108	45	1	46	5	4	1.65	756	0.34000001	1.84	2.18
lancinant	1088.4011	148.09959	35	0.2279935229	0.790239	35	0.7954545	44	6	6	2.45	607	2.3	0.29	2.59
landau	1052.1285	149.73415	41	-0.0504133118	0.8017552	41	0.8541667	48	4	4	1.7	453	3.64999997	0.98	4.63
langage	1039.982	179.03206	46	-0.1464450301	0.9751598	46	0.9787234	47	5	5	1.95	648	36.01000042	16.56	52.57
lange	1138.0899	206.42426	34	0.4196633612	1.1621854	34	0.7	50	3	3	1.2	571	0.07000001	0.65	0.72
langouste	1154.005	115.15948	44	0.5019188583	0.7879402	44	1	44	6	6	2.65	737	2.09	1.99	4.08
langue	981.9762	84.6835	48	-0.4756199231	0.5371496	48	1	49	3	3	1.1	526	103.77999901	58.95	162.73
langueur	1218.7088	204.6876	37	1.0197843993	1.011576	37	0.8888889	45	5	4	1.75	817	3.78000004	0.36	4.14
languir	1043.3497	95.3669	46	-0.1304241167	0.4910989	46	1	47	5	5	1.85	701	1.07999998	1.45	2.53
languis	1039.2449	111.78082	42	-0.2133236802	0.7079737	42	0.9130435	46	4	4	1.7	513	0.27	1.8	2.07
lanterne	998.7272	135.63714	46	-0.3319800007	0.740988	46	0.9787234	47	6	6	1.95	729	11.55000012	2.36	13.91
lapida	1131.899	150.85195	42	0.4770578844	0.8073059	42	0.893617	47	6	6	2.45	601	0.07000001	0	0.07
lapidaire	1116.9405	221.89745	38	0.2376819063	1.0533201	38	0.8888889	45	7	6	2.7	762	0.54	0.02	0.56
lapin	982.2542	116.66122	46	-0.5223504988	0.6102716	46	0.9787234	47	4	4	1.5	521	16.75999994	26.59	43.35
laps	1094.5791	196.66068	33	0.1084498518	0.9859634	33	0.7954545	44	4	4	1.7	447	2.22999998	0.57	2.8
lapsus	1055.4778	94.74194	46	-0.0065462274	0.6037301	46	0.9787234	47	6	5	2.55	800	1.61999999	0.93	2.55
laqué	979.2338	127.16416	46	-0.5694073324	0.8097751	46	1	46	4	4	1.2	473	3.04000005	0.54	3.58
laquais	1051.1736	177.17475	38	-0.0217295401	1.0124698	38	0.826087	46	4	4	1.4	431	2.36000002	1.15	3.51
laquelle	1241.0269	198.48729	29	1.0482864308	1.1290527	29	0.673913	46	5	4	1.75	662	185.26999804	68.94	254.21
larbin	1118.1148	144.54242	41	0.3589715409	0.8289084	41	0.8723404	47	5	5	1.95	551	1.95999999	2.24	4.2
larcin	1033.4609	181.14325	41	-0.2636565669	1.0176947	41	0.8541667	48	5	5	1.95	578	1.21999998	0.43	1.65
lard	1109.2537	178.76869	39	0.2958345548	1.2048398	39	0.78	50	3	3	1	504	11.01000007	8.49	19.5
lardon	1030.3355	113.10092	43	-0.2548459337	0.6758066	43	1	44	5	5	2.45	530	0.61000001	0.57	1.18
large	976.802	190.844	44	-0.5975123174	0.7840572	44	1	44	4	4	1.55	576	106.15000114	22.63	128.78
largement	1004.5912	127.49606	47	-0.4020007687	0.6890627	47	0.9791667	48	7	5	2.85	598	26.75999989	5.98	32.74
largeur	1077.3151	113.79482	44	0.1757126344	0.591732	44	0.9777778	45	6	5	1.9	776	11.42000012	1.55	12.97
largue	1178.4327	173.28194	32	0.7267777819	0.8371677	32	0.8095238	42	4	4	1.65	560	0.67999999	2.21	2.89
larguer	934.4518	133.14199	44	-0.8410928239	0.7586667	44	0.9777778	45	5	5	1.6	508	2.3	4.16	6.46
larme	976.3254	95.88845	47	-0.5822598574	0.6912489	47	1	48	4	4	1.45	543	10.81000006	5.15	15.96
larve	1022.1347	204.59659	46	-0.2806567456	0.9912676	46	0.9787234	47	4	4	1.65	552	1.69	1.92	3.61
laryngite	1123.3833	128.78201	42	0.49073223	0.7215885	42	0.9361702	47	7	6	2.85	855	0.14	0.27	0.41
larynx	958.3698	132.15687	47	-0.693768829	0.7707888	47	0.9591837	49	6	5	2.55	609	1.55	0.94	2.49
lasagnes	1049.888	148.53185	43	-0.1062564722	0.8274434	43	0.9347826	46	5	5	2	699	0.40999999	1.79	2.2
lascar	1081.2795	148.27251	43	0.2475791678	0.6762708	43	0.9183673	49	6	4	2	849	1.88999998	0.79	2.68
laser	1038.9601	168.47214	48	-0.1055084083	0.9344429	48	0.98	50	5	4	1.9	690	0.80999998	5.87	6.68
lassitude	1169.0675	168.59302	36	0.6664411085	0.9804114	36	0.8043478	46	7	5	2.55	816	16.82000001	1.57	18.39
lasso	1035.0007	166.99787	45	-0.2272836278	0.8421818	45	0.9375	48	4	4	1.6	457	1.07999998	0.94	2.02
latéral	1069.4314	159.39544	47	0.073097056	0.7789122	47	0.9591837	49	7	7	2.55	765	0.80999998	0.77	1.58
latence	1015.0777	117.39	47	-0.2621939976	0.7808931	47	0.9591837	49	5	5	1.85	676	0.07000001	0.08	0.15
latente	1078.5915	125.36378	43	0.1664645759	0.8204055	43	0.9148936	47	5	5	1.8	645	1.21999998	0.76	1.98
latex	1041.6331	122.05994	45	-0.0944990902	0.6287175	45	1	45	6	4	2.5	728	0.46999998	1.65	2.12
latin	1012.2427	175.35377	48	-0.518254369	0.9926071	48	0.9411765	51	4	4	1.3	436	19.3900002	8.31	27.7
latine	1202.0394	136.20361	40	0.9707073307	0.831426	40	0.893617	47	5	5	1.6	693	4.11999999	2.41	6.53
latino	1033.4114	114.20307	39	-0.1227265031	0.6691616	39	0.8478261	46	6	6	1.95	583	0	1.61	1.61
latitude	1124.2224	166.78581	44	0.2756704931	0.8696426	44	0.9565217	46	7	5	2.25	778	1.75999999	1.09	2.85
latte	1127.4174	250.53573	35	0.1043655384	1.0147259	35	0.7446809	47	3	3	1	537	2.03000001	0.85	2.88
laurier	931.6404	130.63169	48	-0.8115552321	0.9029651	48	0.9795918	49	5	5	1.9	520	3.58000002	0.9	4.48
lava	1026.5259	172.2739	43	-0.2391703991	0.9341929	43	0.9148936	47	4	4	1.45	428	3.37999999	0.07	3.45
lavabo	1059.9871	152.67673	41	0.0003051698	0.7048846	41	0.9318182	44	6	6	2.5	536	13.84999988	2.56	16.41
lavage	1037.0144	253.56271	44	-0.337385114	0.9901435	44	1	46	5	5	1.65	680	2.63999997	5.01	7.65
lavaient	999.5196	220.86812	41	-0.5196158617	1.0076933	41	0.9534884	43	4	4	1.6	430	1.69	0.05	1.74
lavande	1024.829	124.3749	44	-0.2769815912	0.69791	44	0.9565217	46	5	5	1.95	689	6.81999994	1.53	8.35
lavant	1056.5674	199.89773	42	-0.2394408036	1.0203128	42	0.9130435	46	4	4	1.5	426	2.03000001	0.56	2.59
lave	1015.0562	159.97153	44	-0.3597028517	0.8150187	44	0.9574468	47	3	3	1	541	10.82000009	19.99	30.81
laver	912.6941	156.89784	46	-1.0662378877	0.9154271	46	1	46	4	4	1.2	412	30.67999979	34.01	64.69
laverie	999.3604	159.8768	48	-0.406474703	0.876968	48	0.96	50	5	6	2.85	534	0.88	2.27	3.15
lavette	1075.3789	180.18166	44	0.0163156904	0.9078835	44	0.88	50	5	5	1.8	584	1.21999998	1.2	2.42
laveur	979.0096	222.50478	40	-0.588200542	1.167148	40	0.7843137	51	5	4	1.55	573	0.88	1.51	2.39
lavoir	1019.2463	179.78666	40	-0.3281037303	0.965644	40	0.9333333	45	6	4	1.8	693	5.13999998	0.15	5.29
layette	1126.4658	205.71751	33	0.3497527367	0.9253636	33	0.7	50	5	4	2	650	1.34999999	0.18	1.53
le	991.6923	189.20255	39	-0.4069042773	1.1249493	39	0.7959184	49	2	2	1	167	20735.10006761	16953.5	37688.6
leçon	989.3372	127.86482	47	-0.50115635	0.7263164	47	0.9591837	49	4	3	3.75	461	22.63999988	29.24	51.88
leader	1047.4983	116.08297	42	-0.0384606454	0.5964061	42	0.8958333	48	5	5	1.5	751	0.94999999	10.28	11.23
lecteur	1021.7567	126.63889	43	-0.2664718521	0.6366471	43	0.9565217	46	6	5	1.75	686	12.03000013	2.86	14.89
lectrice	1239.722	228.27157	29	0.718864788	1.0759232	29	0.7380952	42	7	5	2.9	734	1.49000002	0.32	1.81
lecture	960.7068	120.22289	44	-0.624606644	0.7850292	44	1	44	6	5	2.05	696	42.1600004	13.97	56.13
lego	914.954	158.20594	44	-0.9053256251	0.8989008	44	0.9782609	46	4	4	1.6	481	0.07000001	0.35	0.42
lendemain	1012.863	138.74965	47	-0.3134312902	0.7640309	47	0.94	50	5	4	3.45	540	145.54000094	28.58	174.12
lent	923.2509	93.36653	44	-0.9528521977	0.6240305	44	0.9361702	47	2	2	1	281	23.31000006	9.15	32.46
lente	1064.0878	218.0739	44	-0.1020514819	0.8977113	44	0.9565217	46	3	3	1	579	22.70000022	5.32	28.02
lentement	908.1346	101.6788	48	-0.9310372894	0.6002553	48	1	49	5	4	2.8	553	156.5500009	26.48	183.03
lenteur	993.4233	142.73471	48	-0.5016309123	0.5741247	48	1	49	5	4	1.55	680	21.9599998	1.15	23.11
lentille	1008.557	136.84703	50	-0.4860383839	0.6716376	50	1	50	5	5	1.95	641	0.74000001	1.22	1.96
lequel	1148.0719	136.97255	33	0.4684809675	0.9246092	33	0.7857143	42	5	3	2.75	611	137.10000045	64.31	201.41
lesbienne	1037.5443	115.50132	44	0.0094165032	0.7087238	44	0.9777778	45	7	6	3.55	806	0.88	9.48	10.36
lessivé	990.8004	132.12468	47	-0.4514179041	0.6411374	47	0.9791667	48	6	6	2.7	594	1.07999998	0.5	1.58
lessive	1182.9997	204.0578	29	0.7140928999	0.8869385	29	0.6808511	47	5	5	1.95	632	7.76999993	8.22	15.99
lest	1180.3261	186.23761	40	0.663133145	0.9584039	40	0.8541667	48	4	4	1.3	584	0.67999999	0.97	1.65
lettré	1055.3986	197.1286	34	-0.0565620166	1.0578489	34	0.6938776	49	5	2	1.8	511	1.82000001	0.25	2.07
lettre	1025.8382	205.92246	46	-0.299148316	0.8806346	46	1	47	4	4	1.3	584	140.88000007	108.79	249.67
leucémie	1134.8779	113.958	45	0.4799431387	0.6374626	45	0.9375	48	6	6	2.85	726	0.54	1.72	2.26
leur	1014.7961	234.56723	40	-0.1875340698	1.3850429	40	0.9534884	43	3	3	1.15	528	427.50000369	283.81	711.31
leurrer	1079.849	163.1472	34	0.0857970921	0.8217168	34	0.7446809	47	4	4	1.85	409	0.67999999	0.55	1.23
leva	1003.8509	219.04855	43	-0.5381497355	1.0551582	43	0.86	50	4	4	2.7	419	123.58000099	1.29	124.87
levai	923.0151	117.83485	49	-0.967079119	0.6948607	49	1	49	4	4	2.7	498	10.2700001	0.07	10.34
