target	rt.m	rt.sd	rt.n	zrt.m	zrt.sd	zrt.n	acy	acy.n	nbphon	puPhon	pld20	accd	fb	ff	ft
décharger	1140.593	186.11367	40	0.5437161969	0.9934419	40	0.8695652	46	7	7	1.9	711	4.31999997	3.88	8.2
décharné	1198.1125	203.33196	28	0.8399959025	0.9933644	28	0.6829268	41	7	7	1.9	718	2.83999996	0.27	3.11
déchet	1072.9147	185.02855	47	0.0133489665	0.9018007	47	0.9591837	49	4	4	1.75	544	1.95999999	1.27	3.23
déchiffré	1125.8139	184.65966	47	0.3143602666	0.7777383	47	1	48	7	7	2.4	738	0.67999999	1.01	1.69
déchiffre	1221.2938	167.86031	34	0.9124187181	0.6943294	34	0.8139535	43	6	6	2.25	748	1.28000002	0.13	1.41
déchirait	1073.5288	167.57632	41	0.1131525917	0.5799327	41	0.8958333	48	6	6	2	644	4.86000005	0.39	5.25
déchirant	1124.5849	195.52473	44	0.3060972633	0.8041834	44	0.9375	48	6	6	1.85	704	6.01000003	0.85	6.86
déchire	1150.5286	176.28005	41	0.3839982617	0.8292334	41	0.84	50	5	5	1.7	706	8.99000004	7.45	16.44
déchirer	1074.8345	146.99535	46	0.1307408426	0.765361	46	1	47	6	6	1.8	641	8.71999989	4.27	12.99
déchirure	1105.7769	161.63472	46	0.3352175319	0.8426337	46	0.9583333	48	7	6	2.7	779	4.79999995	1.03	5.83
déchu	1103.0949	179.73035	41	0.3501634735	0.8651453	41	0.8571429	49	4	3	1.8	541	2.57000003	1.1	3.67
décida	1038.3473	168.88795	45	-0.2440734602	0.717096	45	1	45	6	6	2.05	601	36.81999961	3.86	40.68
décidâmes	1279.3218	186.49193	39	1.420967054	1.0304305	39	0.9318182	44	7	7	2.75	834	1.61999999	0.02	1.64
décidai	1016.2267	138.98724	49	-0.2331197705	0.6999414	49	1	49	6	6	2.1	609	11.07999988	2.04	13.12
décidais	1061.3442	130.65031	48	0.0006965946	0.6562887	48	1	48	6	6	2.1	660	1.28000002	0.77	2.05
décidant	1105.0288	122.14185	43	0.3485621796	0.6770462	43	1	43	6	6	1.85	669	2.63999997	0.48	3.12
décide	1116.3662	102.63597	47	0.4837371702	0.8048935	47	0.9591837	49	5	5	1.8	681	20.61000016	31.25	51.86
décidera	1133.0424	200.24816	42	0.3482510923	0.823894	42	1	44	7	8	4.25	719	2.15999998	3.48	5.64
déciderai	1114.8372	123.89446	41	0.4757290387	0.7533198	41	0.9347826	46	7	8	4.35	698	0.07000001	1.73	1.8
décidons	1087.5578	123.40153	50	0.3051766651	0.7031869	50	0.9615385	52	6	6	2.85	616	0.67999999	1.42	2.1
décimé	1075.6918	202.77845	43	0.1284036179	0.9166694	43	0.9555556	45	6	6	1.85	620	0.74000001	0.97	1.71
décimant	1189.8935	141.86334	39	0.8587238567	0.8175707	39	0.8478261	46	6	6	1.9	658	0	0.01	0.01
décisif	1214.9867	176.92562	43	0.9500357349	0.7715481	43	0.9787234	47	7	7	2.85	872	7.03000009	1.96	8.99
décision	1066.5072	102.68292	45	0.0622927128	0.5554563	45	1	46	7	7	3.1	723	47.7700005	54.63	102.4
décisive	1194.2154	103.71094	43	1.0509212653	0.7048314	43	0.9787234	47	7	7	2.7	860	5.94999993	1.47	7.42
déclamait	1212.2565	163.06311	33	0.8976904883	0.7923897	33	0.7777778	45	7	7	2.65	704	1.21999998	0.03	1.25
déclamer	1203.4017	195.80109	33	1.1146740438	0.7872201	33	0.7446809	47	7	7	1.85	797	1.21999998	0.53	1.75
déclara	1053.6275	193.086	46	0.0171302611	0.966987	46	0.9787234	47	7	7	2.55	660	19.99999977	0.89	20.89
déclarai	1120.5748	185.81733	41	0.1688790976	0.7264413	41	0.9772727	44	7	7	2.6	760	3.64999997	0	3.65
déclarait	1119.2941	165.82791	42	0.2545308203	0.7896771	42	0.9767442	43	7	7	2.6	747	6.96000004	0.26	7.22
déclarant	1056.3168	112.96096	47	0.1261504385	0.6767573	47	0.9791667	48	7	7	2.3	674	3.72000001	0.3	4.02
déclare	1162.7166	123.27491	48	0.7228790499	0.8637564	48	1	48	6	6	1.9	766	9.86000012	13.13	22.99
déclassés	1212.1026	175.33976	39	1.0586164441	0.7615212	39	0.8541667	48	7	7	1.7	777	0.27	0	0.27
déclencha	1100.4053	156.86577	47	0.3308219679	0.7817734	47	0.9791667	48	7	7	2.65	763	2.3	0.16	2.46
déclenché	1091.3797	125.34582	49	0.2591881278	0.8071274	49	1	49	7	7	2.05	756	3.64999997	5.29	8.94
déclenche	1054.4076	126.38207	43	0.0157413114	0.7219579	43	0.9777778	45	6	6	2.4	746	3.72000001	3.47	7.19
déclic	1249.9424	128.16005	37	1.2261176797	0.7909099	37	0.7959184	49	6	6	2	787	7.50000008	0.96	8.46
déclin	1048.9518	132.7479	42	-0.0206798883	0.8672341	42	0.9767442	43	5	5	2	575	6.08000004	1.73	7.81
déclina	1099.5983	184.32288	46	0.1688710446	0.7210791	46	1	47	7	7	2.65	685	1.07999998	0.12	1.2
déclinait	1130.4698	168.42903	45	0.4088380587	0.8116159	45	0.9782609	46	7	7	2.65	675	2.49999996	0.28	2.78
déclinant	1112.9821	152.48121	47	0.2392823084	0.6176271	47	1	48	7	7	2.5	657	2.49999996	0.19	2.69
décline	1213.7072	155.79649	44	1.0717681898	0.6521882	44	0.9361702	47	6	6	1.9	792	2.3	1.11	3.41
décliner	1058.9112	144.31583	47	-0.0157209916	0.6906838	47	1	47	7	7	1.95	718	2.22999998	0.58	2.81
déco	1063.634	140.81883	41	-0.0436125977	0.7877021	41	0.9111111	45	4	4	1.5	488	0.46999998	2.25	2.72
décocha	1208.4749	161.52043	39	0.9524767161	0.8128998	39	0.8723404	47	6	6	2.05	756	1.42000002	0	1.42
décoder	1068.8133	219.73634	47	-0.0179754624	1.0862381	47	0.9791667	48	6	6	1.7	580	0.34000001	1.59	1.93
décodeurs	1113.2622	200.1208	45	0.2867149292	0.8481418	45	1	45	7	6	1.95	857	0	0.02	0.02
décoiffer	1112.4956	192.82304	44	0.2751652088	0.7519532	44	0.9777778	45	7	7	2	751	0.20000001	0.2	0.4
décolla	1041.3688	161.6138	46	-0.1426591425	0.7507571	46	1	46	6	6	1.9	599	1.34999999	0	1.35
décollage	1039.5508	96.35147	43	0.1502132843	0.7145257	43	1	43	7	7	2	765	1.15	7.14	8.29
décollait	1049.6511	114.00998	40	-0.0886972288	0.714651	40	0.9534884	43	6	6	1.9	583	1.21999998	0.26	1.48
décollant	1093.7762	174.65279	44	0.233848787	0.8915313	44	0.9375	48	6	4	1.9	610	1.15	0.07	1.22
décolle	1167.8036	121.82729	43	0.8311292529	0.8596477	43	0.9361702	47	5	5	1.8	766	3.10999998	5.89	9
décoller	1043.8157	177.48095	48	-0.2670295991	0.826723	48	1	48	6	6	1.65	584	5.67999996	8.11	13.79
décolorée	1173.3575	128.36399	44	0.7710717754	0.6140425	44	1	47	8	8	2.35	812	1.56000003	0.23	1.79
décombres	1336.6789	202.76652	38	1.6325939907	0.9270394	38	0.877551	49	6	4	3	794	6.54999997	1.09	7.64
décomposé	1161.1889	135.54154	48	0.7915666931	0.81073	48	0.9607843	51	8	8	3.5	853	2.57000003	0.61	3.18
décompose	1300.2721	224.79264	48	1.3851438973	0.9598224	48	0.98	50	7	7	3.8	931	1.21999998	0.69	1.91
décompte	1127.3139	191.5012	40	0.4174121112	0.8608358	40	1	42	5	5	2.8	734	0.75000001	1.18	1.93
déconner	1069.2396	126.88832	42	-0.0180264539	0.7273369	42	0.9555556	45	6	6	1.75	608	3.04000005	9.39	12.43
déconnes	1156.2191	112.05342	42	0.6384550185	0.7588706	42	0.9772727	44	5	4	1.95	732	1.69	8.95	10.64
décor	1033.2131	94.62288	46	-0.0429357486	0.5176218	46	1	46	5	4	1.75	753	38.78000011	6.01	44.79
décoratif	1308.5957	165.94885	45	1.4882641096	0.8602917	45	0.9791667	48	9	9	3.25	1040	1.34999999	0.38	1.73
décorer	989.865	161.32663	44	-0.4533264247	0.7587439	44	1	44	6	6	1.7	609	2.91000002	3.38	6.29
